nif,nome,telefone,morada,nome_clinica
921939234,Inácio Calmon,964610320,R DURÃO DE MATOS LOTE 2º DTO 2650-451 - AMADORA,Ultramedical
266666050,Natividade Lourenço,938829110,CSL AMARAL QTA DA MATA LOTE 2º DTO 2580-349 - ALENQUER,Ultramedical
521735268,Liliana Meira,920035799,LG VENDA LOTE RC 2580-082 - ALDEIA GALEGA DA MERCEANA,Ultramedical
137969640,Aldo Nobre,986276472,AV CRUZ VERMELHA PORTUGUESA LOTE 3º ESQ 2720-800 - AMADORA,Ultramedical
424747914,Prantelhana Barradas,931048446,QTA CONDE LOTE 2º DTO 2580-553 - RIBAFRIA,Ultramedical
258749887,Carmina Ramos,973857923,R MANUEL VARELAS LOTE 1º DTO 2580-157 - CARNOTA,Ultramedical
972975883,Eugénio Cruz,946782180,R PACOS QTA DE OTA LOTE 2º DTO 2580-244 - OTA,Blue
874710062,Vasco Diniz,937509983,CSL S ROQUE LOTE RC 2580-132 - CADAFAIS,Blue
447916543,Camila Valentim,912849034,CC GLÓRIA LOTE 1º ESQ 2700-424 - AMADORA,Blue
497478867,Genoveva Pina,923458566,R COMISSAO PAIS LOTE 1º DTO 2610-224 - AMADORA,Blue
235832683,Máxima Alarcão,974835423,CSL OLIVAIS LOTE 3º DTO 2580-152 - CARNOTA,Blue
361314017,Roberto Marins,939946477,URB QUINTA DO VISCONDE LOTE 3º DTO 2580-038 - CADAFAIS,Blue
858193742,Reinaldo Meireles,953544972,LUGAR DA BEM POSTA LOTE 2º ESQ 2580-376 - ALENQUER,Multicare
826897904,Higino Louro,989743773,PCT RAUL PROENÇA LOTE RC 2720-004 - AMADORA,Multicare
483089909,Rúbem Meira,972213059,R PRINCIPAL LOTE 3º ESQ 2580-402 - VENTOSA ALQ,Multicare
816268114,Fábio Paes,981518945,CSL SOUDO LOTE 3º DTO 2630-158 - ARRUDA DOS VINHOS,Multicare
949783397,Eduardo Valentim,959181767,R ANTÓNIO SARDINHA LOTE 2º DTO 2700-087 - AMADORA,Multicare
887046722,Capitolina Louro,984283843,TV COSTA CASTELO LOTE 3º ESQ 2630-230 - ARRUDA DOS VINHOS,Multicare
592324243,Graça Mateus,968351455,R PRINCIPAL LOTE RC 2580-512 - CARREGADO,Interclínicas
874464783,Rosalina Sabrosa,928922703,R 1 MAIO LOTE 3º DTO 2580-376 - ALENQUER,Interclínicas
257708279,Georgette DelRosario,964929174,BC CASAL MIMOSO LOTE 3º DTO 2580-381 - ALENQUER,Interclínicas
945269758,Jacinta Silvestre,960362948,R MOINHO LOTE RC 2580-401 - VENTOSA ALQ,Interclínicas
325943990,Mónica Couto,988058436,TV FRANCISCA ESTEVÃO LOTE 2º ESQ 2580-232 - OLHALVO,Interclínicas
338370230,Lázaro Brito,957062582,ESTR BEMPOSTA LOTE 3º ESQ 2580-624 - ALENQUER,Interclínicas
780935904,Luís Bessa4,960383251,R PARQUE INFANTIL LOTE RC 2580-060 - ALENQUER,Santa Clínica
375949624,Constança Serra,922032252,R BACELO GRANDE LOTE 1º ESQ 2580-110 - ALDEIA GAVINHA,Santa Clínica
970379922,Priscila Cavaco,953689609,R QUINTA DO VISC CASAL S CRISTÓVÃO LOTE 3º ESQ 2580-132 - CADAFAIS,Santa Clínica
606743302,Diego Viveiros,951175479,QTA MESQUITA LOTE 3º DTO 2630-504 - SANTIAGO DOS VELHOS,Santa Clínica
246764715,Evandro Alexandre,975964279,R JOAO DEUS VENDA NO LOTE 3º ESQ 2700-488 - AMADORA,Santa Clínica
480870390,Clemente Vilhena,920365306,R TERRAS DA EIRA LOTE 1º DTO 2700-810 - AMADORA,Santa Clínica
