nif,nome,telefone,morada,especialidade
658388433,Laureana Guterres,979654951,R ESTRADA DO ZAMBUJAL LOTE 1º ESQ 2610-267 - AMADORA,Clínica geral
346614604,Aurora Moura,972865445,ESTR SERRA DA MIRA LOTE RC 2650-087 - AMADORA,Clínica geral
727773976,Ovídio Oliveira,980386778,R ELIO DO REGO LOTE 2º ESQ 2700-342 - AMADORA,Clínica geral
350220916,Rosalinda Caldeira,964506703,R PRINCIPAL 2 LOTE 3º ESQ 2700-694 - AMADORA,Clínica geral
341852094,Josefina Queiroz,940005068,TV VISC DE CHANCELEIROS LOTE 2º DTO 2580-545 - ALENQUER,Clínica geral
832926089,Silvério Sapateiro,977147196,R ORQUIDEAS LOTE 3º DTO 2580-509 - CARREGADO,Clínica geral
561451283,Estela Malafaia,935780414,CSL ANTAS LOTE 2º ESQ 2630-280 - ARRUDA DOS VINHOS,Clínica geral
655534331,Custódia Tinoco,958554207,TV SAUDADE LOTE 3º ESQ 2580-542 - ALENQUER,Clínica geral
849909729,Elsa Martins,937530485,R S JOÃO DE DEUS LOTE 1º ESQ 2700-760 - AMADORA,Clínica geral
711762437,Dirce Novo,987824257,CSL CRESPO MOINHO DO CRESPO LOTE 3º DTO 2580-379 - ALENQUER,Clínica geral
484914965,Gisele Salomão,974877289,AV QUINTA GRANDE LOTE 2º ESQ 2610-153 - AMADORA,Clínica geral
911681667,Lourdes Góes,987601021,R ALVES REDOL LOTE 1º ESQ 2650-393 - AMADORA,Clínica geral
518602292,Ana Borges,948550259,QTA CHOCAPALHAS LOTE RC 2580-081 - ALDEIA GALEGA DA MERCEANA,Clínica geral
639407606,Bernardina Andrade,919357840,QTA PUCARICA LOTE RC 2630-429 - CARDOSAS,Clínica geral
741942321,Sabrina Nogueira,949410882,LG ERMIDA LOTE 3º DTO 2580-156 - CARNOTA,Clínica geral
474482747,Catarina Novais,929087272,R 25 DE ABRIL LOTE RC 2630-586 - SANTIAGO DOS VELHOS,Clínica geral
380679528,Isaura Campos,956598956,QTA ONEA LOTE 1º ESQ 2580-580 - ALENQUER,Clínica geral
469735559,Débora Valente,985092503,QTA FORO LOTE 1º ESQ 2630-426 - CARDOSAS,Clínica geral
120961663,Laura Furtado,914096463,CSL FIGUEIRAS CASA PALMEIRA LOTE 2º ESQ 2630-352 - ARRUDA DOS VINHOS,Clínica geral
269924065,Hipólito Alarcão,934570134,R VITOR DAMAS LOTE RC 2720-801 - AMADORA,Clínica geral
235777723,Lília Pereira,967590337,R TERREIRO LOTE 2º ESQ 2630-283 - ARRUDA DOS VINHOS,Ortopedia
