ssn,nif,nome,telefone,morada,data_nasc
27379203998,603113017,Olavo Coval,970875700,CSL VÁRZEA LOTE 1º ESQ 2580-376 - ALENQUER,2000-8-23
42963452131,842328721,Érica Henriques,918161473,AV D LUIS I LOTE 1º ESQ 2610-063 - AMADORA,1987-11-18
87028725069,202035855,Zulmira Horta,949736316,R SURRAIPAS LOTE 2º ESQ 2580-232 - OLHALVO,2015-3-15
84151743482,545606511,Rosalinda Castro,920824284,LG TRABALHADORES LOTE RC 2580-147 - CARNOTA,1930-12-13
29362275555,435776855,Hermínia Torres,926934315,CSL DE VILA CHÃ LOTE 3º DTO 2704-501 - AMADORA,2005-4-11
10073545453,671848403,Rogério Nobre,941173266,CSL CASAL PEDRULHO LOTE 1º DTO 2580-379 - ALENQUER,1971-6-8
42307234875,476046441,Aurélio GomesdaRocha,910974760,LG S GABRIEL LOTE 1º ESQ 2580-106 - ALDEIA GAVINHA,1998-12-23
99800437367,951260622,Branca Dantas,934160488,QTA JF LOTE 2º ESQ 2580-183 - MECA,1992-10-25
75045304579,675363907,Catarina Carpinteiro,955386909,TV LUIS DE CAMÕES LOTE 2º DTO 2580-243 - OTA,1982-2-19
14077274922,258701477,Olegário Padilha,924485174,R CARVALHA CASALIDA CARVALHA LOTE 3º DTO 2580-557 - RIBAFRIA,1965-9-3
42854590315,625633666,Piedade Mercado,959490015,R MURGUEIRA LOTE 1º DTO 2610-279 - AMADORA,2015-1-17
13802790125,878194645,Ivete Dias,910387895,ESTR MONTEJUNTO LOTE 1º ESQ 2580-442 - VILA VERDE DOS FRANCOS,1990-8-1
15157760972,427551392,Rosa Cabral,953188602,CSL GRILA LOTE 2º DTO 2580-442 - VILA VERDE DOS FRANCOS,2007-12-25
76647646378,308384022,Fradique Esteves,959095135,R ANTÓNIO LOPES MARCELO LOTE 1º ESQ 2580-385 - ALENQUER,1953-6-15
31487420522,891842320,Germana Alarcão,922043433,AV BRASIL LOTE 2º ESQ 2700-132 - AMADORA,1978-3-25
59745032403,929754688,Raquel Teles,955751075,R MALA POSTA LOTE 2º ESQ 2580-243 - OTA,1967-4-18
62156356865,800327729,Paulo Nápoles,950887113,CASAIS DA RONDULHA LOTE 2º DTO 2630-443 - CARDOSAS,1958-9-20
47524216067,943780724,Paulina Freire,943822656,R JOSE LUIS REGO LOTE 3º DTO 2580-243 - OTA,1992-11-11
52581657314,591301303,Hélio Rangel,981730668,R MOINHO LOTE 3º ESQ 2580-214 - OLHALVO,1980-1-25
87875637603,409639261,Onofre Pereira,957545633,R ANTÓNIO MARTINS CARVALHO LOTE 1º DTO 2630-317 - ARRUDA DOS VINHOS,1925-9-11
63367514285,376565540,Adelaide Gouveia,921026898,R BONS AMIGOS QTA DAS OLIVEIRAS LOTE 3º DTO 2580-382 - ALENQUER,2005-10-9
43192294247,893524977,Frederica Ramalho,985946249,R GONÇALVES RAMOS LOTE RC 2700-434 - AMADORA,1931-7-17
52164560998,287309344,Ava Salgado,975948672,LG 1 DE MAIO LOTE 3º ESQ 2580-432 - VILA VERDE DOS FRANCOS,1987-7-5
98709142909,954668733,Cecília Almeida,910329670,R ADEGAS LOTE 3º DTO 2580-408 - VENTOSA ALQ,2019-2-14
70028119729,749508354,Amanda Caetano,977847112,R OUTEIRO LOTE RC 2580-122 - CABANAS DE TORRES,1981-4-15
41051984444,130911463,Sebastião Homem,914525638,R ANTÓNIO SARDINHA LOTE 2º DTO 2700-086 - AMADORA,2018-10-7
36823901843,658382463,Diego Couto,979903114,TV ABRAÃO ZACUTO LUSITANO LOTE RC 2650-463 - AMADORA,1945-1-11
58059252117,121786055,Sandoval Campos,981833416,MEIRINHA LOTE 2º ESQ 2580-510 - CARREGADO,1952-6-20
34254213719,799249915,Amélia Coval,970605373,URB INDUSTRIAL DE SANTO ANTÓNIO LOTE 2º ESQ 2630-128 - ARRUDA DOS VINHOS,1945-7-12
13706365064,668837294,Arnaldo Viegas,941968557,CSL CASAL NOVO MALPIQUE LOTE 3º DTO 2580-441 - VILA VERDE DOS FRANCOS,1978-7-24
70912408207,307835242,Denilde Neves,948486162,CSL DE VILA CHÃ LOTE 1º ESQ 2650-044 - AMADORA,1971-8-20
14802197872,409497589,Teresa Rego,956978137,ESTR CASAL DO TELHEIRO LOTE 1º DTO 2630-244 - ARRUDA DOS VINHOS,1992-1-15
28773681389,461207513,Joel Paiva,960776984,R SERRADINHOS LOTE 2º DTO 2580-452 - ABRIGADA,1999-2-5
27744838650,721687663,Carlos Eanes,920327072,R CARAMBACHA DE CIMA LOTE 3º ESQ 2580-462 - CARREGADO,2013-10-7
