nif,nome,dia_da_semana
658388433,Ultramedical,1
658388433,Blue,2
658388433,Multicare,3
658388433,Interclínicas,4
658388433,Santa Clínica,5
346614604,Ultramedical,6
346614604,Blue,7
346614604,Multicare,1
346614604,Interclínicas,2
346614604,Santa Clínica,3
727773976,Ultramedical,4
727773976,Blue,5
727773976,Multicare,6
727773976,Interclínicas,7
727773976,Santa Clínica,1
350220916,Ultramedical,2
350220916,Blue,3
350220916,Multicare,4
350220916,Interclínicas,5
350220916,Santa Clínica,6
341852094,Ultramedical,7
341852094,Blue,1
341852094,Multicare,2
341852094,Interclínicas,3
341852094,Santa Clínica,4
832926089,Ultramedical,5
832926089,Blue,6
832926089,Multicare,7
832926089,Interclínicas,1
832926089,Santa Clínica,2
561451283,Ultramedical,3
561451283,Blue,4
561451283,Multicare,5
561451283,Interclínicas,6
561451283,Santa Clínica,7
655534331,Ultramedical,1
655534331,Blue,2
655534331,Multicare,3
655534331,Interclínicas,4
655534331,Santa Clínica,5
849909729,Ultramedical,6
849909729,Blue,7
849909729,Multicare,1
849909729,Interclínicas,2
849909729,Santa Clínica,3
711762437,Ultramedical,4
711762437,Blue,5
711762437,Multicare,6
711762437,Interclínicas,7
711762437,Santa Clínica,1
484914965,Ultramedical,2
484914965,Blue,3
484914965,Multicare,4
484914965,Interclínicas,5
484914965,Santa Clínica,6
911681667,Ultramedical,7
911681667,Blue,1
911681667,Multicare,2
911681667,Interclínicas,3
911681667,Santa Clínica,4
518602292,Ultramedical,5
518602292,Blue,6
518602292,Multicare,7
518602292,Interclínicas,1
518602292,Santa Clínica,2
639407606,Ultramedical,3
639407606,Blue,4
639407606,Multicare,5
639407606,Interclínicas,6
639407606,Santa Clínica,7
741942321,Ultramedical,1
741942321,Blue,2
741942321,Multicare,3
741942321,Interclínicas,4
741942321,Santa Clínica,5
474482747,Ultramedical,6
474482747,Blue,7
474482747,Multicare,1
474482747,Interclínicas,2
474482747,Santa Clínica,3
380679528,Ultramedical,4
380679528,Blue,5
380679528,Multicare,6
380679528,Interclínicas,7
380679528,Santa Clínica,1
469735559,Ultramedical,2
469735559,Blue,3
469735559,Multicare,4
469735559,Interclínicas,5
469735559,Santa Clínica,6
120961663,Ultramedical,7
120961663,Blue,1
120961663,Multicare,2
120961663,Interclínicas,3
120961663,Santa Clínica,4
269924065,Ultramedical,5
269924065,Blue,6
269924065,Multicare,7
269924065,Interclínicas,1
269924065,Santa Clínica,2
235777723,Ultramedical,3
235777723,Blue,4
235777723,Multicare,5
235777723,Interclínicas,6
235777723,Santa Clínica,7
583145960,Ultramedical,1
583145960,Blue,2
583145960,Multicare,3
583145960,Interclínicas,4
583145960,Santa Clínica,5
646208188,Ultramedical,6
646208188,Blue,7
646208188,Multicare,1
646208188,Interclínicas,2
646208188,Santa Clínica,3
241385040,Ultramedical,4
241385040,Blue,5
241385040,Multicare,6
241385040,Interclínicas,7
241385040,Santa Clínica,1
615459107,Ultramedical,2
615459107,Blue,3
615459107,Multicare,4
615459107,Interclínicas,5
615459107,Santa Clínica,6
670814870,Ultramedical,7
670814870,Blue,1
670814870,Multicare,2
